,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
324,Topaz Itty Bitty NYC Calico Kitty,2,0,Kitten,Domestic Short Hair,,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,308.0,"Zanis Furry Friends ZFF, Inc",thirty_days
325,Bernard Bombay & Ernest Tiger NYC Bros,2,0,Kitten,Bombay & Domestic Short Hair Mix,Black,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,290.0,"Zanis Furry Friends ZFF, Inc",thirty_days
326,Happy Go Lucky NYC Solo Cat,4,0,Adult,Domestic Medium Hair,Tabby (Gray / Blue / Silver),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Dogs, children.",,Other cats.,Medium,424.0,"Zanis Furry Friends ZFF, Inc",thirty_days
327,Basil,3,0,Kitten,Domestic Short Hair,Black,Medium,Male,"Affectionate, Playful, Smart, Curious, Independent, Funny, Athletic, Loves kisses, Friendly",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$120.00,,Short,179.0,Cat Republic,thirty_days
328,Ever,4,0,Senior,Domestic Short Hair,Gray & White,Large,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,Children.,Short,242.0,Cat Republic,thirty_days
329,Calix,5,0,Adult,Domestic Short Hair,,Medium,Male,"shy, easy, loves cats",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$80.00,,Short,210.0,Cat Republic,thirty_days
330,Tiger Balm,5,1,Senior,Domestic Short Hair,Tabby (Brown / Chocolate),Large,Male,"lazy, senior",Yes,Spayed / neutered.,,$80.00,,Short,178.0,Cat Republic,thirty_days
331,Ringtail,4,0,Adult,Domestic Short Hair,White,Medium,Male,"playful, affectionate, active, Friendly, Affectionate, Playful, Gentle, Funny",Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,157.0,FAT Cats,thirty_days
332,Willie,3,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,Adores people,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,105.0,Barbara the Cat Lady,thirty_days
333,Peach,6,0,Young,Domestic Short Hair,Orange & White,Medium,Male,"Timid, gentle, Quiet, Gentle, Independent",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,Short,109.0,Barbara the Cat Lady,thirty_days
334,Misty,6,0,Adult,Domestic Short Hair,Gray & White,Small,Female,"Gentle, loving",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,43.0,Barbara the Cat Lady,thirty_days
335,Double,4,1,Young,Domestic Short Hair,Black & White / Tuxedo,Large,Male,loves petting and other cats,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,57.0,Barbara the Cat Lady,thirty_days
336,Fosters Needed,0,0,Kitten,Domestic Short Hair Mix,Brown / Chocolate,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,117.0,FAT Cats,thirty_days
337,Xoxo,6,0,Young,Domestic Short Hair,Black,Large,Male,"Loving, Playful, Active, Hugger",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,124.0,Brooklyn's Finest Animal Clinic,thirty_days
338,Scuttle,6,0,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,", Friendly, Affectionate, Gentle, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$300.00,,Short,98.0,Brooklyn's Finest Animal Clinic,thirty_days
339,Joots,6,0,Adult,Domestic Short Hair,Tabby (Gray / Blue / Silver),Large,Male,"Couch potato, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",,$300.00,Other cats.,Short,86.0,Brooklyn's Finest Animal Clinic,thirty_days
340,ZIGGY,2,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,"Friendly, Affectionate, Playful, Smart, Curious",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,Dogs.,Short,158.0,Paul the Cat Guy Inc,thirty_days
341,GRETCHEN,3,0,Adult,Torbie & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Medium,Female,", Friendly, Affectionate, Loyal, Playful, Smart, Funny, Couch potato, Loves kisses, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",,$200.00,Dogs.,Short,140.0,Paul the Cat Guy Inc,thirty_days
342,Dream - Sweet Playful Fluffball,4,1,Kitten,Domestic Short Hair Mix,Calico,Medium,Female,"Loving, playful, active, fun, curious, sweet",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,162.0,Hopewell Rescue,thirty_days
343,SUGARPLUM,4,0,Young,Tabby & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,140.0,Paul the Cat Guy Inc,thirty_days
344,Cherry,3,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Small,Female,", Friendly, Affectionate, Gentle, Playful, Curious, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,"Dogs, children.",Short,143.0,Paul the Cat Guy Inc,thirty_days
345,MARIO,5,1,Adult,Tuxedo & Domestic Short Hair Mix,Black,Large,Male,", Friendly, Affectionate, Loyal, Gentle, Smart, Couch potato, Loves kisses, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",Children.,$200.00,"Other cats, dogs.",Short,292.0,Paul the Cat Guy Inc,thirty_days
346,Bailey,5,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$175.00,,Short,304.0,Paul the Cat Guy Inc,thirty_days
347,LUNA,4,1,Adult,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$175.00,,Short,328.0,Paul the Cat Guy Inc,thirty_days
348,TOASTY,4,1,Adult,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,", Friendly, Affectionate, Loyal, Smart, Brave, Curious, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",,$200.00,"Other cats, dogs, children.",Short,347.0,Paul the Cat Guy Inc,thirty_days
349,CHILI,2,0,Young,Tabby & Domestic Short Hair Mix,,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$175.00,,Short,138.0,Paul the Cat Guy Inc,thirty_days
350,Lily,2,0,Adult,Calico,Calico,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,Dogs.,Short,63.0,Lindas Feral Cat Assistance,thirty_days
351,Biggie,2,0,Adult,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,64.0,Lindas Feral Cat Assistance,thirty_days
352,Coconut,0,0,Adult,Domestic Short Hair,Tabby (Orange / Red),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,70.0,Lindas Feral Cat Assistance,thirty_days
353,Autumn,4,0,Adult,Domestic Short Hair,Orange & White,Large,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,,69.0,KittyKaretakers of Queens,thirty_days
354,Raven,3,0,Adult,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,68.0,KittyKaretakers of Queens,thirty_days
355,Clara,6,0,Young,Siamese,Cream Point,Medium,Female,"Courtesy Listing, Friendly, Affectionate, Loyal, Smart, Independent",Yes,Spayed / neutered.,Dogs.,,"Other cats, children.",Short,236.0,KittyKaretakers of Queens,thirty_days
