Sylvester,5,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Large,Male,"Friendly, Affectionate, Loyal, Playful, Smart, Brave, Curious, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,$100.00,"Other cats, dogs, children.",Short,213,Sunset Park Cats,14,No
Oscar,6,0,Adult,Domestic Short Hair & Bengal Mix,Tabby (Leopard / Spotted),Large,Male,"Friendly, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,$100.00,"Other cats, dogs, children.",Short,121,Sunset Park Cats,14,No
Chi,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Playful, Smart, Loyal, Quiet, Funny, Curious, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,$100.00,"Other cats, dogs.",Short,197,Sunset Park Cats,14,No
Tor,6,0,Adult,Russian Blue & Domestic Short Hair Mix,Gray / Blue / Silver,Extra Large,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Independent, Dignified, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",,$125.00,,Short,307,"Timber's Legacy, Inc.",14,No
Baby Ginny,5,0,Kitten,Tuxedo,Black & White / Tuxedo,Medium,Female,"Quiet, Independent, shy, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,Short,40,NYC Teens for Animals,14,No
Brandon,2,0,Kitten,Domestic Medium Hair Mix,,Medium,Male,"Friendly, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$150.00,,48,Angels for Animals Network,14,No
Heather,3,1,Young,Domestic Short Hair,Dilute Tortoiseshell,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Independent, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,Dogs.,Short,73,Happy Friends Rescue,14,No
Sherlock & Watson,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Gentle, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$325.00,,Short,68,Saving Cats & Kittens of Brooklyn,14,No
Bulldog,3,1,Young,Domestic Long Hair,Black & White / Tuxedo,Large,Male,"Friendly, Affectionate, Gentle, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$150.00,,Long,249,Bronx Tails Cat Rescue,14,No
Bruno (M) and Marsi (F) - BONDED PAIR,6,0,Kitten,Domestic Short Hair & Tabby Mix,Black,Medium,Male,"Athletic, Friendly, Energetic, Playful, Affectionate, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,305,Bronx Tails Cat Rescue,14,No
LEXI N.,3,1,Young,Domestic Short Hair,Tabby (Leopard / Spotted),Small,Female,"Friendly, Affectionate, Loyal, Gentle, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,79,Bronx Tails Cat Rescue,14,No
Noel,6,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Loving, Grateful, Well Behaved",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,230,Bronx Tails Cat Rescue,14,No
